exit_date,trade_number,signal,qty,net_pnl_usd,pnl_per_contract,commission_usd,mae_usd,mfe_usd,duration_bars,is_scalein
2024-07-25,1053,ORB Long,2,-1006.64,-503.32,3.64,-1220.82,579.18,23,False
2024-07-25,1054,Scale-in Long,2,-834.64,-417.32,3.64,-1048.82,751.18,22,True
2024-07-26,1055,ORB Long,2,-38.64,-19.32,3.64,-575.82,457.18,26,False
2024-07-26,1056,Scale-in Long,2,-149.64,-74.82,3.64,-431.82,346.18,19,True
2024-07-29,1058,Scale-in Long,2,-133.64,-66.82,3.64,-565.82,378.18,27,True
2024-07-29,1057,ORB Long,2,-551.64,-275.82,3.64,-983.82,73.18,28,False
2024-07-31,1059,ORB Long,2,31.36,15.68,3.64,-273.82,643.18,21,False
2024-07-31,1060,Scale-in Long,2,622.36,311.18,3.64,-328.82,875.18,27,True
2024-08-01,1061,ORB Long,2,-1336.64,-668.32,3.64,-1334.82,104.18,5,False
2024-08-05,1062,ORB Long,2,1027.36,513.68,3.64,-126.82,1629.18,28,False
2024-08-05,1063,Scale-in Long,2,652.36,326.18,3.64,-501.82,1254.18,27,True
2024-08-06,1064,ORB Long,2,13.36,6.68,3.64,-188.82,1234.18,23,False
2024-08-06,1065,Scale-in Long,2,-345.64,-172.82,3.64,-460.82,1202.18,27,True
2024-08-07,1066,ORB Long,2,-1363.64,-681.82,3.64,-1361.82,61.18,12,False
2024-08-07,1067,Scale-in Long,2,-1268.64,-634.32,3.64,-1266.82,127.18,12,True
2024-08-08,1069,Scale-in Long,2,1015.36,507.68,3.64,-52.82,1166.18,27,True
2024-08-08,1068,ORB Long,2,1210.36,605.18,3.64,0.0,1361.18,27,False
2024-08-09,1070,ORB Long,2,290.36,145.18,3.64,-372.82,581.18,27,False
2024-08-09,1071,Scale-in Long,2,216.36,108.18,3.64,-446.82,507.18,27,True
2024-08-12,1072,ORB Long,2,-202.64,-101.32,3.64,-388.82,368.18,26,False
2024-08-12,1073,Scale-in Long,2,-301.64,-150.82,3.64,-487.82,269.18,26,True
2024-08-13,1074,ORB Long,2,799.36,399.68,3.64,-176.82,887.18,28,False
2024-08-13,1075,Scale-in Long,2,834.36,417.18,3.64,-141.82,922.18,27,True
2024-08-14,1076,ORB Long,2,-115.64,-57.82,3.64,-628.82,112.18,20,False
2024-08-14,1077,Scale-in Long,2,-202.64,-101.32,3.64,-715.82,3.18,20,True
