n,exp,pf,wr,profitR,maxddR,fast,slow,session,volfloor,k,exit,req_exp
219,0.03579439471303363,1.0825652245088084,0.4155251141552511,7.838972442154365,13.000657201227975,20,100,ln0312,False,2.5,trail3.0,0.23338847572555144
199,0.07241112121194793,1.1619799249928642,0.4824120603015075,14.409813121177638,7.46796066454586,20,100,ln0312,False,3.0,tp1.5,0.19449039643795954
188,0.021104263675911044,1.0449395525380982,0.4574468085106383,3.967601571071276,9.002482295729209,20,100,ln0312,False,3.0,tp2.0,0.19449039643795954
185,0.01907699106381226,1.0400019975210877,0.4486486486486487,3.529243346805268,9.581957497098061,20,100,ln0312,False,3.0,tp3.0,0.19449039643795954
257,0.003110964582485394,1.0096656507552828,0.4280155642023346,0.7995178976987463,10.681667237068506,20,100,ln0312,False,3.0,trail2.0,0.19449039643795954
212,0.026469815449275173,1.0706734048870892,0.42452830188679247,5.611600875246337,12.291886184916052,20,100,ln0312,False,3.0,trail3.0,0.19449039643795954
180,0.06963748331481454,1.1260824216413392,0.4722222222222222,12.534746996666616,9.763232580926948,20,100,ln0312,True,1.5,tp1.5,0.3889807928759191
171,0.09284403397454091,1.1553202627833943,0.4327485380116959,15.876329809646496,11.848621431826967,20,100,ln0312,True,1.5,tp2.0,0.3889807928759191
160,-0.033217092225708275,0.9511788861358493,0.35625,-5.3147347561133245,21.439201413578047,20,100,ln0312,True,1.5,tp3.0,0.3889807928759191
176,-0.08826373381515801,0.8412573993210516,0.3522727272727273,-15.53441715146781,27.7974425790736,20,100,ln0312,True,1.5,trail2.0,0.3889807928759191
160,-0.0925736690725334,0.8518469127552272,0.3375,-14.811787051605343,27.382022780241115,20,100,ln0312,True,1.5,trail3.0,0.3889807928759191
151,0.07047437502380208,1.1409077913234715,0.4966887417218543,10.641630628594115,6.325775058289019,20,100,ln0312,True,2.0,tp1.5,0.2917355946569393
146,0.01358624412736586,1.0243222338919251,0.4383561643835616,1.9835916425954156,12.535064890074366,20,100,ln0312,True,2.0,tp2.0,0.2917355946569393
139,-0.0992838962284489,0.8352067947530165,0.39568345323741005,-13.800461575754397,25.6332269514301,20,100,ln0312,True,2.0,tp3.0,0.2917355946569393
166,-0.09328064093156113,0.7894301016758252,0.3795180722891566,-15.484586394639148,21.605055647299206,20,100,ln0312,True,2.0,trail2.0,0.2917355946569393
146,-0.09484435460406858,0.8158532838558369,0.3767123287671233,-13.847275772194013,20.275679629737603,20,100,ln0312,True,2.0,trail3.0,0.2917355946569393
133,0.05800096397122522,1.130217037172459,0.5112781954887218,7.714128208172954,7.603992435902564,20,100,ln0312,True,2.5,tp1.5,0.23338847572555144
128,-0.006290799508201425,0.9869342931557137,0.46875,-0.8052223370497824,11.054455408897669,20,100,ln0312,True,2.5,tp2.0,0.23338847572555144
126,-0.0705813469001852,0.8573467524907129,0.4523809523809524,-8.893249709423335,15.215384918819215,20,100,ln0312,True,2.5,tp3.0,0.23338847572555144
163,-0.06533150647504901,0.8154121519899472,0.3987730061349693,-10.649035555432988,15.398078933287099,20,100,ln0312,True,2.5,trail2.0,0.23338847572555144
136,-0.02618499046922312,0.9336548341440324,0.41911764705882354,-3.5611587038143444,11.718849040642985,20,100,ln0312,True,2.5,trail3.0,0.23338847572555144
