n,exp,pf,wr,profitR,maxddR,family,param,session,volfloor,k,exit,hurdle_R,req_exp,pass_hurdle
173,-0.24755184845682135,0.5974619824703586,0.28901734104046245,-42.82646978303009,51.11128314476408,donchian,12,ln0312,True,2.5,trail3.0,0.05834711893138786,0.23338847572555144,False
163,-0.21385152317344422,0.6107348782726892,0.3496932515337423,-34.85779827727141,45.16993080729792,donchian,12,ln0312,True,3.0,tp1.5,0.048622599109489885,0.19449039643795954,False
157,-0.22654308506569143,0.6017804969210401,0.33121019108280253,-35.567264355313554,43.5816436602241,donchian,12,ln0312,True,3.0,tp2.0,0.048622599109489885,0.19449039643795954,False
156,-0.2221732919718655,0.6073502859206331,0.3333333333333333,-34.65903354761102,41.686927121548614,donchian,12,ln0312,True,3.0,tp3.0,0.048622599109489885,0.19449039643795954,False
184,-0.16217227018811206,0.6036488025772516,0.28804347826086957,-29.83969771461262,32.27543603399452,donchian,12,ln0312,True,3.0,trail2.0,0.048622599109489885,0.19449039643795954,False
167,-0.21437243890855331,0.5998634407616871,0.2994011976047904,-35.8001972977284,42.41114049481635,donchian,12,ln0312,True,3.0,trail3.0,0.048622599109489885,0.19449039643795954,False
733,-0.21876772021864901,0.6641624499837034,0.3601637107776262,-160.35673892026972,173.36960740430428,donchian,12,allday,False,1.5,tp1.5,0.09724519821897977,0.3889807928759191,False
675,-0.19100672954233977,0.7190835806029402,0.3348148148148148,-128.92954244107935,146.54492771078648,donchian,12,allday,False,1.5,tp2.0,0.09724519821897977,0.3889807928759191,False
604,-0.18044437905733499,0.7411563087204351,0.30629139072847683,-108.98840495063033,120.91068299834953,donchian,12,allday,False,1.5,tp3.0,0.09724519821897977,0.3889807928759191,False
637,-0.2309163442156493,0.6188579179086736,0.28414442700156983,-147.0937112653686,155.71064076985303,donchian,12,allday,False,1.5,trail2.0,0.09724519821897977,0.3889807928759191,False
585,-0.23985764478971464,0.6509491215333261,0.27692307692307694,-140.31672220198305,153.4322266157554,donchian,12,allday,False,1.5,trail3.0,0.09724519821897977,0.3889807928759191,False
609,-0.14730025979693015,0.745632454820872,0.3891625615763547,-89.70585821633045,101.49445291899666,donchian,12,allday,False,2.0,tp1.5,0.07293389866423483,0.2917355946569393,False
567,-0.15565643295048637,0.7407159622374883,0.3527336860670194,-88.25719748292578,94.89554227142617,donchian,12,allday,False,2.0,tp2.0,0.07293389866423483,0.2917355946569393,False
530,-0.18977265871655205,0.6936539585239164,0.32264150943396225,-100.57950911977258,107.96146256981672,donchian,12,allday,False,2.0,tp3.0,0.07293389866423483,0.2917355946569393,False
608,-0.19435261251147243,0.6111119853313766,0.3092105263157895,-118.16638840697524,123.23799471493481,donchian,12,allday,False,2.0,trail2.0,0.07293389866423483,0.2917355946569393,False
540,-0.21164531600137218,0.641538422430585,0.3148148148148148,-114.28847064074098,118.60619852099842,donchian,12,allday,False,2.0,trail3.0,0.07293389866423483,0.2917355946569393,False
534,-0.16806425326276944,0.6826925305849632,0.38202247191011235,-89.74631124231888,95.23332202123558,donchian,12,allday,False,2.5,tp1.5,0.05834711893138786,0.23338847572555144,False
498,-0.17568317002854317,0.6722192835082319,0.36947791164658633,-87.4902186742145,89.57545341079441,donchian,12,allday,False,2.5,tp2.0,0.05834711893138786,0.23338847572555144,False
481,-0.1928349089481673,0.6484392235933221,0.35343035343035345,-92.75359120406847,99.86118893395569,donchian,12,allday,False,2.5,tp3.0,0.05834711893138786,0.23338847572555144,False
590,-0.16552326977557813,0.6026381558849236,0.31864406779661014,-97.65872916759109,101.54796979090621,donchian,12,allday,False,2.5,trail2.0,0.05834711893138786,0.23338847572555144,False
514,-0.212057187610673,0.5943941645249832,0.32879377431906615,-108.99739443188592,112.16522458522805,donchian,12,allday,False,2.5,trail3.0,0.05834711893138786,0.23338847572555144,False
488,-0.12923605509646718,0.7232504231510036,0.39959016393442626,-63.067194887075985,68.63264615824194,donchian,12,allday,False,3.0,tp1.5,0.048622599109489885,0.19449039643795954,False
471,-0.16117621968973336,0.6681219871326088,0.37579617834394907,-75.91399947386441,78.31621994883595,donchian,12,allday,False,3.0,tp2.0,0.048622599109489885,0.19449039643795954,False
456,-0.1880168233614491,0.6150262114093609,0.36622807017543857,-85.73567145282078,86.86951378982897,donchian,12,allday,False,3.0,tp3.0,0.048622599109489885,0.19449039643795954,False
583,-0.14244525117085324,0.5948767480177692,0.3259005145797599,-83.04558143260743,85.95328195203666,donchian,12,allday,False,3.0,trail2.0,0.048622599109489885,0.19449039643795954,False
495,-0.18922645737675545,0.5804263435635866,0.3373737373737374,-93.66709640149395,96.64435107459474,donchian,12,allday,False,3.0,trail3.0,0.048622599109489885,0.19449039643795954,False
391,-0.2598750551126777,0.5927277613311313,0.34271099744245526,-101.611146549057,107.58750398435132,donchian,12,allday,True,1.5,tp1.5,0.09724519821897977,0.3889807928759191,False
