,zVIX,zCRED,zMOVE,zDXY,composite_eqw,composite_pca1,state_eqw,state_pca1
2016-09-01,-0.7856151409196923,1.4120086792164523,-0.6654757790801104,1.80884917952853,0.4424417346862949,0.8115629986351184,off,off
2016-09-02,-0.9380176165433696,1.3509278713897497,-0.7761800278222347,1.8395657894938402,0.3690740041294964,0.7231180681584539,neutral,off
2016-09-06,-0.933574532916101,1.372090615040156,-0.8637056022388767,1.688839543768338,0.31591250591337905,0.5869003739209815,neutral,off
2016-09-07,-0.9413481659233486,1.3843171822303901,-0.845536951210328,1.7071455878176296,0.3261444132285858,0.6083917564481502,neutral,off
2016-09-08,-0.8829576955976091,1.3342895254641676,-0.790211047168322,1.7155718770526578,0.34417316493772354,0.6360690131532786,neutral,off
2016-09-09,-0.374573699803835,1.3533941781074519,-0.6971526800981229,1.7576796827126242,0.5098368702295295,0.8955855959641297,off,off
2016-09-12,-0.6127975634275462,1.3203880464676438,-0.7030821418494206,1.7224783877996361,0.4317466822475783,0.7638091198695265,off,off
2016-09-13,-0.3386221274000997,1.361235223156321,-0.6533802309810702,1.7954005200409011,0.541158346204013,0.9549382378518227,off,off
2016-09-14,-0.30899597474505547,1.368820056025194,-0.6933005480460891,1.7517360829988715,0.5295649040582302,0.9223895752072739,off,off
2016-09-15,-0.49642216163407993,1.319146509031054,-0.6960132379667923,1.7446299401438774,0.4678352623935148,0.8264113251871541,off,off
2016-09-16,-0.5910669357779677,1.327059164833078,-0.6934528473841611,1.858030904995995,0.4751425716667361,0.8850836230397476,off,off
2016-09-19,-0.5745921256318024,1.31768839862253,-0.6926510162613212,1.81848725557746,0.46723312807671663,0.8564724834053888,off,off
2016-09-20,-0.5346764393728242,1.340316603296996,-0.6924356395980252,1.8420339586383407,0.48880962074112183,0.898675730698754,off,off
2016-09-21,-0.8016204459942845,1.309701750747527,-0.8533462966956619,1.7899766948929177,0.3611779257376246,0.6985874553646843,neutral,off
2016-09-22,-0.9318150601490205,1.3158536067270687,-0.9277355322602416,1.7590310902612976,0.30383352614477604,0.6066770975551076,neutral,off
2016-09-23,-0.9039292556915454,1.31906285002127,-0.9692616608766674,1.7617146206948153,0.30189663853696813,0.6083543133730294,neutral,off
2016-09-26,-0.6782858414381169,1.3741544940700883,-0.9952299444610535,1.7364454478626608,0.35927103900839463,0.6852256456831086,neutral,off
2016-09-27,-0.8208236131363157,1.3690502127959918,-0.9836837277722643,1.7531409092863308,0.3294209452934357,0.6467956500052309,neutral,off
2016-09-28,-0.8929251506489276,1.3115205842109228,-1.030436768945728,1.7502484277667976,0.2846017730957662,0.5827273868331665,neutral,off
2016-09-29,-0.7263837790870683,1.3426817083958578,-0.9939642730536045,1.7641082962117494,0.34661048811673356,0.6792618110231325,neutral,off
2016-09-30,-0.8005976856665089,1.2838796859303678,-0.9434606590486468,1.7514314530129735,0.3228131985570464,0.6344354465549183,neutral,off
2016-10-03,-0.7717663896755366,1.2793928940588535,-0.9468955738914724,1.7903702520403446,0.3377752956330473,0.6737102643919703,neutral,off
2016-10-04,-0.7653888781630221,1.2508699462827424,-0.8981827197533045,1.84034915301077,0.35691187534429647,0.719706617904615,neutral,off
2016-10-05,-0.8304169317494277,1.214847290420484,-0.883487621380872,1.8400531814982926,0.3352489796971192,0.6862546862032572,neutral,off
